City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Constitucion,CL,2021-10-27 18:45:56,-35.3333,-72.4167,64.11,64,14,11.77
172,Beni Mazar,EG,2021-10-27 18:48:06,28.4962,30.8029,79.36,25,0,6.02
173,Churapcha,RU,2021-10-27 18:48:06,62.0025,132.4325,14.72,99,100,4.65
174,Plettenberg Bay,ZA,2021-10-27 18:48:07,-34.0527,23.3716,64.99,95,100,6.35
175,Magdagachi,RU,2021-10-27 18:48:07,53.45,125.8,30.13,73,25,2.86
176,Cochrane,CA,2021-10-27 18:43:40,51.1834,-114.4687,52.61,29,20,24.16
177,Castro,BR,2021-10-27 18:43:19,-24.7911,-50.0119,68.58,82,100,7.85
178,Cordoba,AR,2021-10-27 18:48:08,-31.4135,-64.1811,94.75,13,0,4.0
179,Shache,CN,2021-10-27 18:48:08,38.4167,77.2406,49.62,34,22,3.15
180,Buala,SB,2021-10-27 18:48:09,-8.145,159.5921,79.93,83,72,6.93
181,Leshukonskoye,RU,2021-10-27 18:48:09,64.8989,45.7622,29.93,98,100,6.31
182,Tigre,AR,2021-10-27 18:48:10,-34.426,-58.5796,98.29,33,0,9.22
183,San Patricio,US,2021-10-27 18:48:10,28.017,-97.5169,88.21,15,0,27.36
184,Pompeu,BR,2021-10-27 18:48:11,-19.2244,-44.9353,84.7,38,97,5.59
185,Codrington,AU,2021-10-27 18:48:11,-38.2667,141.9667,55.29,95,100,9.08
186,Blantyre,MW,2021-10-27 18:48:11,-15.785,35.0085,70.27,68,39,11.36
187,Preeceville,CA,2021-10-27 18:43:13,51.95,-102.6677,49.42,48,100,5.17
188,Harper,LR,2021-10-27 18:48:12,4.375,-7.7169,77.86,87,87,7.52
189,Oyem,GA,2021-10-27 18:48:12,1.5995,11.5793,69.35,97,100,1.9
190,Gat,IL,2021-10-27 18:48:13,31.61,34.7642,71.82,62,0,6.89
191,Gurupa,BR,2021-10-27 18:48:13,-1.405,-51.64,86.32,59,99,2.08
192,Newport,GB,2021-10-27 18:48:14,51.5877,-2.9984,59.86,82,99,20.47
193,Broome,US,2021-10-27 18:48:14,42.2506,-75.833,57.85,68,1,5.01
194,Surt,LY,2021-10-27 18:48:15,31.2089,16.5887,73.18,73,5,10.11
195,Corumba,BR,2021-10-27 18:48:15,-19.0092,-57.6533,94.91,43,20,6.91
196,Samarai,PG,2021-10-27 18:48:15,-10.6167,150.6667,81.28,77,99,14.18
197,Shimoda,JP,2021-10-27 18:48:16,34.6667,138.95,57.11,75,100,6.49
198,San Andres,CO,2021-10-27 18:48:16,12.5847,-81.7006,87.82,70,75,6.91
199,Rocha,UY,2021-10-27 18:48:17,-34.4833,-54.3333,82.65,51,0,6.96
200,Lompoc,US,2021-10-27 18:47:24,34.6391,-120.4579,78.42,48,1,13.8
201,Nanortalik,GL,2021-10-27 18:48:17,60.1432,-45.2371,35.94,64,0,8.79
202,Moba,CN,2021-10-27 18:48:18,33.2288,105.0179,41.74,93,100,1.59
203,Nome,US,2021-10-27 18:46:35,64.5011,-165.4064,19.47,69,90,9.22
204,Bogale,MM,2021-10-27 18:48:19,16.2833,95.4,76.03,87,100,3.89
205,Sioux Lookout,CA,2021-10-27 18:48:19,50.1001,-91.917,48.27,66,90,11.5
206,Poum,NC,2021-10-27 18:48:20,-20.2333,164.0167,75.07,83,1,11.16
207,Rio Verde De Mato Grosso,BR,2021-10-27 18:48:20,-18.9181,-54.8442,88.59,49,100,2.98
208,Fort-Shevchenko,KZ,2021-10-27 18:48:20,44.5086,50.263,46.6,55,0,9.53
