City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
532,Kidal,ML,80.89,few clouds,18.4411,1.4078,
534,Luwuk,ID,87.94,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
539,Guaruja,BR,76.15,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
541,Sur,OM,80.06,clear sky,22.5667,59.5289,Sur Plaza Hotel
542,Weligama,LK,81.28,light rain,5.9667,80.4167,Weligama Bay Resort
545,Kieta,PG,85.5,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
546,Felipe Carrillo Puerto,MX,75.56,broken clouds,19.5833,-88.05,Hotel La Ceiba
552,Wattegama,LK,79.72,scattered clouds,6.7989,81.4808,
553,Cam Ranh,VN,89.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
554,Kendari,ID,89.15,broken clouds,-3.945,122.4989,Hotel Wixel
557,Bell Ville,AR,75.67,clear sky,-32.6259,-62.6887,Hotel Central
566,George Town,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
567,Tuy Hoa,VN,82.2,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
570,Tomatlan,MX,75.69,broken clouds,19.9333,-105.25,El Salvial
571,Kathu,TH,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
572,Palakkad,IN,82.45,overcast clouds,10.7833,76.65,Hotel Gazala
578,Naze,JP,76.12,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
579,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
580,Galle,LK,80.19,overcast clouds,6.0367,80.217,Amangalla
586,Binabalian,PH,83.07,broken clouds,16.4202,119.9279,Sundowners Vacation Villas
590,Karaton,ID,86.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
598,Pedasi,PA,77.07,broken clouds,7.5333,-80.0333,Selina Pedasi
599,Wanning,CN,78.03,light rain,18.8003,110.3967,Paradise Hotel
600,Sabang,ID,83.16,light rain,5.8933,95.3214,Hotel Citra
602,Tarrafal,CV,75.99,broken clouds,15.2833,-23.7667,Hotel Ixola
612,Taloda,IN,80.04,broken clouds,21.5667,74.2167,Churati lodge
613,High Rock,BS,82.42,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
614,Luganville,VU,83.17,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
615,Ambulu,ID,87.6,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
620,Kiama,AU,86.38,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
622,Port-Gentil,GA,77.72,broken clouds,-0.7193,8.7815,Fengshui Residence
626,Balabac,PH,84.6,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
627,Tadine,NC,75.74,few clouds,-21.55,167.8833,
628,Mianwali,PK,76.53,clear sky,32.5741,71.5264,Hashmi Plaza
637,Sola,VU,81.61,few clouds,-13.8833,167.55,Leumerus Bungalows
642,Muisne,EC,75.38,overcast clouds,0.6,-80.0333,Quinta Samay
645,Gao,ML,83.25,few clouds,16.6362,1.637,
657,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
660,Dakar,SN,79.68,clear sky,14.6937,-17.4441,Redface Studios Meublés
664,Pyapon,MM,85.12,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
665,Minuri,PH,80.42,broken clouds,16.535,121.8574,
670,Batemans Bay,AU,80.91,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
672,Barra Do Garcas,BR,78.53,few clouds,-15.89,-52.2567,Hotel Pousada Tropical
676,Thinadhoo,MV,83.53,scattered clouds,0.5333,72.9333,
678,Carutapera,BR,76.1,broken clouds,-1.195,-46.02,Lidera
682,Namatanai,PG,86.04,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
683,Mutis,CO,78.62,light rain,6.2262,-77.4044,Paraiso Escondido
684,Acarau,BR,78.57,broken clouds,-2.8856,-40.12,castelo pizzaria
687,Acapulco,MX,79.09,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
692,Basco,PH,79.27,broken clouds,20.4487,121.9702,Nathaniel's Lodge
697,Nanakuli,US,79.99,few clouds,21.3906,-158.1547,Camp Pālehua
698,Dera Bugti,PK,79.18,clear sky,29.0307,69.151,Nawab Bugti House
